,layoff_date
3/16/2020,185
3/17/2020,112
3/20/2020,89
3/23/2020,79
3/18/2020,77
3/15/2020,61
Separations,38
3/22/2020,37
3/31/2020,36
3/27/2020,36
3/30/2020,34
-----,28
3/19/2020,27
3/25/2020,27
3/29/2020,20
4/8/2020,20
3/21/2020,18
4/4/2020,18
3/26/2020,17
4/1/2020,16
4/3/2020,16
Furloughs,16
3/24/2020,16
Layoffs,14
4/2/2020,11
The,11
4/13/2020,11
4/10/2020,10
3/14/2020,10
4/6/2020,9
3/13/2020,9
March,8
6/30/2020,7
3/12/2020,7
4/16/2020,6
3/28/2020,6
These,6
4/7/2020,5
4/30/2020,5
May,5
4/24/2020,4
Separation,4
5/1/2020,3
4/14/2020,3
Employment,3
June,3
6/1/2020,3
3/11/2020,3
4/5/2020,3
3/6/2020,3
5/22/2020,2
4/20/2020,2
3/10/2020,2
6/19/2020,2
Employee,2
Separtions,2
5/15/2020,2
4/12/2020,2
6/3/2020,2
A,2
7/1/2020,2
4/25/2020,2
5/31/2020,2
48,2
Close,2
April,2
7/31/2020,1
4/23/2020,1
(27),1
4/22/2020,1
7/3/2020,1
5/2/2020,1
5/29/2020,1
2/29/2020,1
7/12/2020,1
69,1
5/8/2020,1
14,1
First,1
6/12/2020,1
4/11/2020,1
6/24/2020,1
Nine,1
287,1
5/6/2020,1
December,1
5/5/2020,1
23,1
30,1
5/18/2020,1
88,1
6/26/2020,1
52,1
362,1
356,1
Employees,1
6/17/2020,1
146,1
86,1
To,1
"4/1/2020,",1
37,1
51,1
4/27/2020,1
(21),1
Seven,1
1/12/2020,1
Macy's,1
7/30/2020,1
330,1
6/14/2020,1
7/19/2020,1
2/23/2020,1
6/21/2020,1
34,1
Beginning,1
18,1
87,1
72,1
"3/19/2020,",1
81,1
